0.999,0.0,0.001,0.0
0.99805,0.00095,0.001,0.0
0.99675,0.00225,0.0009,0.0001
0.99615,0.00265,0.00095,0.00025
0.99555,0.0026,0.0016,0.00025
0.99485,0.00255,0.0023,0.0003
0.99355,0.0034,0.0025,0.00055
0.99155,0.00485,0.00275,0.00085
0.9888,0.00695,0.00295,0.0013
0.98665,0.0082,0.0036,0.00155
0.9834,0.00955,0.00535,0.0017
0.98025,0.0111,0.0066,0.00205
0.97495,0.01405,0.00815,0.00285
0.96815,0.01845,0.00965,0.00375
0.96125,0.0221,0.01185,0.0048
0.95285,0.0268,0.01415,0.0062
0.9424,0.03165,0.01865,0.0073
0.92915,0.03825,0.0239,0.0087
0.91345,0.04675,0.02855,0.01125
0.8927,0.05885,0.0345,0.01395
0.86915,0.0712,0.0423,0.01735
0.8427,0.08475,0.05045,0.0221
0.8093,0.1018,0.0614,0.0275
0.7703,0.12165,0.07495,0.0331
0.72675,0.14155,0.0904,0.0413
0.6797,0.16085,0.1099,0.04955
0.6242,0.18455,0.13205,0.0592
0.5636,0.20885,0.1549,0.07265
0.5008,0.22905,0.1806,0.08955
0.4369,0.246,0.2095,0.1076
0.36995,0.2622,0.2382,0.12965
0.30595,0.27075,0.26755,0.15575
0.24745,0.27,0.29945,0.1831
0.1969,0.26125,0.3265,0.21535
0.15155,0.24855,0.3509,0.249
0.11775,0.2251,0.36805,0.2891
0.0894,0.20025,0.3786,0.33175
0.06855,0.17135,0.3867,0.3734
0.05295,0.1449,0.38445,0.4177
0.03995,0.12195,0.37715,0.46095
0.0317,0.1006,0.3619,0.5058
0.02565,0.0833,0.3443,0.54675
0.02135,0.068,0.3221,0.58855
0.0179,0.0553,0.302,0.6248
0.015,0.04485,0.2793,0.66085
0.01405,0.0364,0.25575,0.6938
0.014,0.02875,0.2318,0.72545
0.01395,0.0227,0.21,0.75335
0.0143,0.0191,0.18715,0.77945
0.0138,0.01675,0.1669,0.80255
0.0144,0.0141,0.15095,0.82055
0.0153,0.01215,0.1353,0.83725
0.0162,0.01065,0.12165,0.8515
0.01755,0.0092,0.10845,0.8648
0.02,0.00815,0.0961,0.87575
0.0217,0.00775,0.08445,0.8861
0.0229,0.00755,0.0747,0.89485
0.0244,0.0071,0.06705,0.90145
0.02655,0.0063,0.0588,0.90835
0.02925,0.00545,0.05295,0.91235
0.03115,0.0057,0.04675,0.9164
0.03325,0.0052,0.04205,0.9195
0.03565,0.00515,0.03735,0.92185
0.03835,0.0044,0.03435,0.9229
0.0411,0.004,0.03025,0.92465
0.04325,0.0034,0.0266,0.92675
0.04615,0.00385,0.0239,0.9261
0.04915,0.00405,0.0209,0.9259
0.05165,0.0037,0.01815,0.9265
0.05485,0.00315,0.0163,0.9257
0.05835,0.00235,0.01465,0.92465
0.0612,0.0021,0.0137,0.923
0.06395,0.00235,0.0125,0.9212
0.0664,0.0025,0.0114,0.9197
0.0689,0.00215,0.0106,0.91835
0.0721,0.002,0.0095,0.9164
0.07445,0.0021,0.0083,0.91515
0.07715,0.0019,0.0072,0.91375
0.08005,0.0022,0.0067,0.91105
0.0835,0.00225,0.00585,0.9084
0.0862,0.00215,0.00545,0.9062
0.08885,0.00195,0.0054,0.9038
0.09215,0.0018,0.0046,0.90145
0.09485,0.00145,0.00445,0.89925
0.09755,0.00145,0.0041,0.8969
0.101,0.00145,0.0039,0.89365
0.1037,0.0013,0.00355,0.89145
0.10665,0.0013,0.0037,0.88835
0.1093,0.0011,0.00375,0.88585
0.11185,0.0012,0.00345,0.8835
0.11455,0.00125,0.00325,0.88095
0.1172,0.00125,0.0032,0.87835
0.12055,0.0012,0.00305,0.8752
0.12265,0.00125,0.0031,0.873
0.12495,0.0012,0.0034,0.87045
0.1272,0.0013,0.00335,0.86815
0.1298,0.00125,0.0032,0.86575
0.13195,0.00145,0.003,0.8636
0.1337,0.0014,0.00305,0.86185
0.1365,0.0015,0.0028,0.8592
0.13875,0.0014,0.00275,0.8571
0.1415,0.0015,0.00275,0.85425
0.14415,0.0014,0.0028,0.85165
0.1462,0.00145,0.0027,0.84965
0.14855,0.0015,0.0025,0.84745
0.1509,0.00125,0.00265,0.8452
0.15295,0.0011,0.0029,0.84305
0.156,0.001,0.0029,0.8401
0.15885,0.001,0.00265,0.8375
0.16125,0.00095,0.00275,0.83505
0.16325,0.00105,0.00275,0.83295
0.1658,0.00155,0.00235,0.8303
0.1673,0.00175,0.0026,0.82835
0.16905,0.00185,0.0025,0.8266
0.1714,0.00155,0.0029,0.82415
0.1731,0.00145,0.00315,0.8223
0.17535,0.00135,0.00305,0.82025
0.17775,0.0014,0.0031,0.81775
0.1796,0.00145,0.00305,0.8159
0.182,0.00145,0.0028,0.81375
0.18405,0.00145,0.00285,0.81165
0.18675,0.00135,0.0029,0.809
0.18885,0.0017,0.0027,0.80675
0.1908,0.00165,0.00245,0.8051
0.1932,0.00185,0.00215,0.8028
0.1947,0.00165,0.0025,0.80115
0.19685,0.00165,0.00275,0.79875
0.1992,0.00145,0.00285,0.7965
0.20095,0.0017,0.00275,0.7946
0.20295,0.0018,0.0027,0.79255
0.2043,0.0022,0.0028,0.7907
0.20655,0.0022,0.00285,0.7884
0.20815,0.0021,0.00325,0.7865
0.2096,0.0023,0.0033,0.7848
0.2112,0.00245,0.00355,0.7828
0.2129,0.00235,0.00385,0.7809
0.2147,0.0021,0.004,0.7792
0.21595,0.0026,0.0042,0.77725
0.21785,0.00275,0.004,0.7754
0.2194,0.00265,0.00425,0.7737
0.2205,0.00285,0.0044,0.77225
0.2218,0.00285,0.0043,0.77105
0.2233,0.00295,0.0047,0.76905
0.224,0.00375,0.00465,0.7676
0.22615,0.00375,0.00465,0.76545
0.22765,0.00375,0.00505,0.76355
0.2292,0.004,0.00545,0.76135
0.231,0.0039,0.00555,0.75955
0.2312,0.00465,0.0055,0.75865
0.23265,0.00445,0.00555,0.75735
0.23405,0.0044,0.00645,0.7551
0.23535,0.00505,0.0064,0.7532
0.23645,0.0051,0.00665,0.7518
0.23755,0.0054,0.00705,0.75
0.23875,0.0059,0.0073,0.74805
0.2401,0.00595,0.008,0.74595
0.2402,0.0064,0.0086,0.7448
0.2407,0.00705,0.00855,0.7437
0.24165,0.00695,0.00905,0.74235
0.2425,0.00665,0.0094,0.74145
0.24235,0.0073,0.0098,0.74055
0.2423,0.0073,0.01045,0.73995
